,word,tokenized_as,tag
15,.,PUNCT,O
0,מצד,HEB,O
1,אמו,HEB,O
2,",",PUNCT,O
3,מלכה,HEB,O
4,לבית,HEB,O
5,רוזיליו,HEB,O
6,",",PUNCT,O
7,הייתה,HEB,O
8,משפחתו,HEB,O
9,יוצאת,HEB,O
10,מרוקו,HEB,B-GPE
11,.,PUNCT,O
0,סבו,HEB,O
1,אלעזר,HEB,O
2,רוזיליו,HEB,O
3,היה,HEB,O
4,מנכבדי,HEB,O
5,העדה,HEB,O
6,המערבית,HEB,O
7,בירושלים,HEB,O
8,ונכדו,HEB,O
9,של,HEB,O
10,הרב,HEB,O
11,משה,HEB,O
12,רוזיליו,HEB,O
13,",",PUNCT,O
14,מגדולי,HEB,O
15,ראשי,HEB,O
16,הישיבות,HEB,O
17,במרקש,HEB,B-GPE
18,ומחבר,HEB,O
19,הספר,HEB,O
20,"""",PUNCT,O
21,קול,HEB,O
22,מבשר,HEB,O
23,"""",PUNCT,O
24,על,HEB,O
25,"הש""ס",HEB,O
26,.,PUNCT,O
0,לימים,HEB,O
1,תיאר,HEB,O
2,יהושע,HEB,O
3,את,HEB,O
4,חילוקי,HEB,O
5,הדעות,HEB,O
6,בין,HEB,O
7,הוריו,HEB,O
8,על,HEB,O
9,חינוכו,HEB,O
10,.,PUNCT,O
0,בעיני,HEB,O
1,אמו,HEB,O
2,"""",PUNCT,O
3,הקהילה,HEB,O
4,הספרדית,HEB,O
5,הישנה,HEB,O
6,של,HEB,O
7,אבי,HEB,O
8,לא,HEB,O
9,הייתה,HEB,O
10,זרה,HEB,O
11,פחות,HEB,O
12,מהיישוב,HEB,B-GPE
13,האשכנזי,HEB,O
14,הציוני,HEB,O
15,אשר,HEB,O
16,היה,HEB,O
17,כאן,HEB,O
18,רוב,HEB,O
19,",",PUNCT,O
20,ובוודאי,HEB,O
21,לא,HEB,O
22,הרגישה,HEB,O
23,כלפי,HEB,O
24,העדה,HEB,O
25,הספרדית,HEB,O
26,מחויבות,HEB,O
27,רגשית,HEB,O
28,מיוחדת,HEB,O
29,.,PUNCT,O
0,שפתה,HEB,O
1,הייתה,HEB,O
2,צרפתית,HEB,B-LANGUAGE
3,",",PUNCT,O
4,ולאדינו,HEB,B-LANGUAGE
5,לא,HEB,O
6,ידעה,HEB,O
7,.,PUNCT,O
0,"""",PUNCT,O
1,שאיפתה,HEB,O
2,הייתה,HEB,O
3,להתחבר,HEB,O
4,אל,HEB,O
5,"""",PUNCT,O
6,לבה,HEB,O
7,של,HEB,O
8,הארץ,HEB,O
9,שהיה,HEB,O
10,העולם,HEB,O
11,הציוני,HEB,O
12,אשכנזי,HEB,O
13,ולא,HEB,O
14,אל,HEB,O
15,משהו,HEB,O
16,שראתה,HEB,O
17,בו,HEB,O
18,שולי,HEB,O
19,הרבה,HEB,O
20,יותר,HEB,O
21,.,PUNCT,O
0,"""",PUNCT,O
1,לעומת,HEB,O
2,זאת,HEB,O
3,היה,HEB,O
4,אביו,HEB,O
5,קשור,HEB,O
6,למורשת,HEB,O
7,הספרדית-ירושלמית,HEB,O
8,.,PUNCT,O
0,בסופו,HEB,O
1,של,HEB,O
2,דבר,HEB,O
3,התחנך,HEB,O
4,יהושע,HEB,O
5,בחינוך,HEB,O
6,החילוני-ציוני,HEB,O
7,בזיקה,HEB,O
8,סוציאליסטית,HEB,O
9,.,PUNCT,O
0,למד,HEB,O
1,בתיכון,HEB,O
2,הגימנסיה,HEB,O
3,העברית,HEB,O
4,רחביה,HEB,O
5,.,PUNCT,O
0,לאחר,HEB,O
1,מכן,HEB,O
2,שירת,HEB,O
3,"בצה""ל",HEB,O
4,בחטיבת,HEB,O
5,הצנחנים,HEB,O
6,והשתתף,HEB,O
7,כלוחם,HEB,O
8,בפעולות,HEB,O
9,התגמול,HEB,O
10,ובמבצע,HEB,O
11,קדש,HEB,O
12,.,PUNCT,O
0,למד,HEB,O
1,ספרות,HEB,O
2,ופילוסופיה,HEB,O
3,באוניברסיטה,HEB,O
4,העברית,HEB,O
5,בירושלים,HEB,O
6,.,PUNCT,O
0,בשנת,HEB,O
1,2016,NUM,B-DATE
2,קיבל,HEB,O
3,את,HEB,O
4,פרס,HEB,O
5,א.מ.ת,HEB,O
6,לספרות,HEB,O
7,ביחד,HEB,O
8,עם,HEB,O
9,רונית,HEB,B-PERSON
10,מטלון,HEB,I-PERSON
11,.,PUNCT,O
0,בשנת,HEB,O
1,2017,NUM,B-DATE
2,קיבל,HEB,O
3,את,HEB,O
4,פרס,HEB,O
5,דן,HEB,O
6,דוד,HEB,O
7,.,PUNCT,O
0,לימד,HEB,O
1,בבתי-ספר,HEB,O
2,תיכוניים,HEB,O
3,ובאוניברסיטה,HEB,O
4,.,PUNCT,O
0,כיום,HEB,O
1,פרופסור,HEB,O
2,אמריטוס,HEB,O
3,בחוג,HEB,O
4,לספרות,HEB,O
5,עברית,HEB,O
6,והשוואתית,HEB,O
7,באוניברסיטת,HEB,O
8,חיפה,HEB,O
9,.,PUNCT,O
0,הוא,HEB,O
1,לימד,HEB,O
2,סופרים,HEB,O
3,רבים,HEB,O
4,וביניהם,HEB,O
5,את,HEB,O
6,מרדכי,HEB,B-PERSON
7,הרטל,HEB,I-PERSON
8,.,PUNCT,O
0,התגורר,HEB,O
1,בחיפה,HEB,B-ORG
2,רוב,HEB,O
3,חייו,HEB,O
4,הבוגרים,HEB,O
5,והיא,HEB,O
6,ומופיעה,HEB,O
7,רבות,HEB,O
8,בספריו,HEB,O
9,",",PUNCT,O
10,כמו,HEB,O
11,גם,HEB,O
12,האוניברסיטה,HEB,O
13,על,HEB,O
14,היבטיה,HEB,O
15,השונים,HEB,O
16,.,PUNCT,O
0,שימש,HEB,O
1,כמרצה,HEB,O
2,אורח,HEB,O
3,באוניברסיטאות,HEB,O
4,הרווארד,HEB,O
5,(,PUNCT,O
6,1977,NUM,O
7,),PUNCT,O
8,שיקגו,HEB,O
9,(,PUNCT,O
10,1988,NUM,O
11,",",PUNCT,O
12,1997,NUM,O
13,",",PUNCT,O
14,2000,NUM,O
15,),PUNCT,O
16,ופרינסטון,HEB,B-ORG
17,(,PUNCT,O
18,1992,NUM,O
19,),PUNCT,O
20,.,PUNCT,O
0,קיבל,HEB,O
1,תואר,HEB,O
2,"ד""ר",HEB,O
3,לשם,HEB,O
4,כבוד,HEB,O
5,מאוניברסיטאות,HEB,O
6,:,PUNCT,O
7,תל,HEB,B-FAC
8,אביב,HEB,I-FAC
9,",",PUNCT,O
10,בר-אילן,HEB,O
11,",",PUNCT,O
12,ויצמן,HEB,O
13,",",PUNCT,O
14,בן-גוריון,HEB,O
15,",",PUNCT,O
16,טורינו,HEB,B-ORG
17,ואקול,HEB,O
18,נורמל,HEB,O
19,סופרייר,HEB,O
20,.,PUNCT,O
0,כיום,HEB,O
1,מתגורר,HEB,O
2,בגבעתיים,HEB,B-ORG
3,.,PUNCT,O
0,היה,HEB,O
1,נשוי,HEB,O
2,"לד""ר",HEB,O
3,רבקה,HEB,O
4,(,PUNCT,O
5,איקה,HEB,O
6,),PUNCT,O
7,יהושע,HEB,O
8,",",PUNCT,O
9,פסיכואנליטיקאית,HEB,O
10,במקצועה,HEB,O
11,",",PUNCT,O
12,עד,HEB,O
13,לפטירתה,HEB,O
14,בספטמבר,HEB,O
15,2016,NUM,O
16,",",PUNCT,O
17,והוא,HEB,O
18,אב,HEB,O
19,לשלושה,HEB,O
20,וסב,HEB,O
21,לשבעה,HEB,O
22,נכדים,HEB,O
23,.,PUNCT,O
0,יצירתו,HEB,O
1,של,HEB,O
2,יהושע,HEB,O
3,זוכה,HEB,O
4,להכרה,HEB,O
5,רחבה,HEB,O
6,",",PUNCT,O
7,בישראל,HEB,O
8,ובעולם,HEB,O
9,.,PUNCT,O
0,על,HEB,O
1,מגוון,HEB,O
2,יצירותיו,HEB,O
3,זכה,HEB,O
4,בפרסים,HEB,O
5,ספרותיים,HEB,O
6,רבים,HEB,O
7,",",PUNCT,O
8,ובכללם,HEB,O
9,פרס,HEB,O
10,ביאליק,HEB,O
11,",",PUNCT,O
12,פרס,HEB,O
13,ברנר,HEB,O
14,",",PUNCT,O
15,פרס,HEB,O
16,ישראל,HEB,O
17,לספרות,HEB,O
18,ופרס,HEB,O
19,מדיסיס,HEB,O
20,לסופר,HEB,O
21,זר,HEB,O
22,.,PUNCT,O
0,העיתון,HEB,O
1,ניו,HEB,B-FAC
2,יורק,HEB,I-FAC
3,טיימס,HEB,I-FAC
4,תיאר,HEB,O
5,אותו,HEB,O
6,כ,HEB,O
7,-,PUNCT,O
8,"""",PUNCT,O
9,מין,HEB,O
10,פוקנר,HEB,B-PERSON
11,ישראלי,HEB,O
12,"""",PUNCT,O
13,",",PUNCT,O
14,בשל,HEB,O
15,יכולתו,HEB,O
16,המיוחדת,HEB,O
17,לבטא,HEB,O
18,ולהעלות,HEB,O
19,על,HEB,O
20,הכתב,HEB,O
21,את,HEB,O
22,"""",PUNCT,O
23,הלך,HEB,O
24,הרוח,HEB,O
25,"""",PUNCT,O
26,הישראלי,HEB,O
27,העכשווי,HEB,O
28,.,PUNCT,O
0,ספרו,HEB,O
1,"""",PUNCT,O
2,שליחותו,HEB,B-WORK_OF_ART
3,של,HEB,I-WORK_OF_ART
4,הממונה,HEB,I-WORK_OF_ART
5,על,HEB,I-WORK_OF_ART
6,משאבי,HEB,I-WORK_OF_ART
7,אנוש,HEB,I-WORK_OF_ART
8,"""",PUNCT,O
9,בתרגומו,HEB,O
10,האנגלי,HEB,O
11,"""",PUNCT,O
12,The,ENG,O
13,Woman,ENG,O
14,from,ENG,O
15,Jerusalem,ENG,O
16,"""",PUNCT,O
17,נכלל,HEB,O
18,ברשימת,HEB,O
19,מאה,HEB,O
20,הספרים,HEB,O
21,הטובים,HEB,O
22,של,HEB,O
23,השנה,HEB,O
24,של,HEB,O
25,הניו,HEB,O
26,יורק,HEB,O
27,טיימס,HEB,O
28,ושל,HEB,O
29,"ה""פאבלישרס",HEB,O
30,ויקלי,HEB,O
31,"""",PUNCT,O
32,לשנת,HEB,O
33,2006,NUM,B-DATE
34,.,PUNCT,O
0,באפריל,HEB,O
1,2007,NUM,O
2,זכה,HEB,O
3,בפרס,HEB,O
4,הלוס,HEB,B-WORK_OF_ART
5,אנג'לס,HEB,I-WORK_OF_ART
6,טיימס,HEB,I-WORK_OF_ART
7,על,HEB,O
8,ספרו,HEB,O
9,"""",PUNCT,O
10,שליחותו,HEB,O
11,של,HEB,O
12,הממונה,HEB,O
13,על,HEB,O
14,משאבי,HEB,O
15,אנוש,HEB,O
16,"""",PUNCT,O
17,.,PUNCT,O
0,בשנת,HEB,O
1,2010,NUM,O
2,עובד,HEB,O
3,הספר,HEB,O
4,לסרט,HEB,O
5,קולנוע,HEB,O
6,בבימויו,HEB,O
7,של,HEB,O
8,ערן,HEB,B-PERSON
9,ריקליס,HEB,I-PERSON
10,ובעיבודו,HEB,O
11,של,HEB,O
12,נח,HEB,B-PERSON
13,סטולמן,HEB,I-PERSON
14,.,PUNCT,O
0,יהושע,HEB,O
1,הביע,HEB,O
2,ביקורת,HEB,O
3,רבה,HEB,O
4,על,HEB,O
5,מדיניותה,HEB,O
6,של,HEB,O
7,ישראל,HEB,O
8,ביהודה,HEB,O
9,",",PUNCT,O
10,שומרון,HEB,O
11,ועזה,HEB,O
12,מאז,HEB,O
13,1967,NUM,B-DATE
14,והוא,HEB,O
15,נמנה,HEB,O
16,עם,HEB,O
17,החותמים,HEB,O
18,על,HEB,O
19,יוזמת,HEB,O
20,ז'נבה,HEB,O
21,.,PUNCT,O
0,היה,HEB,O
1,חבר,HEB,O
2,מפלגת,HEB,O
3,העבודה,HEB,O
4,.,PUNCT,O
0,בבחירות,HEB,B-EVENT
1,לכנסת,HEB,I-EVENT
2,התשיעית,HEB,I-EVENT
3,תמך,HEB,O
4,במפלגת,HEB,O
5,"של""י",HEB,O
6,",",PUNCT,O
7,אך,HEB,O
8,אחרי,HEB,O
9,המהפך,HEB,O
10,הפוליטי,HEB,O
11,חזר,HEB,O
12,לשורות,HEB,O
13,העבודה,HEB,O
14,במסגרת,HEB,O
15,חוג,HEB,O
16,77,NUM,O
17,",",PUNCT,O
18,היה,HEB,O
19,חבר,HEB,O
20,מרכז,HEB,O
21,המפלגה,HEB,O
22,ושותף,HEB,O
23,בכתיבת,HEB,O
24,מצעה,HEB,O
25,החדש,HEB,O
26,.,PUNCT,O
0,ב-21,HEB,O
1,בפברואר,HEB,O
2,1988,NUM,B-DATE
3,",",PUNCT,O
4,בזמן,HEB,O
5,האינתיפאדה,HEB,B-EVENT
6,הראשונה,HEB,I-EVENT
7,",",PUNCT,O
8,פרסם,HEB,O
9,יחד,HEB,O
10,עם,HEB,O
11,יהודה,HEB,B-PERSON
12,עמיחי,HEB,I-PERSON
13,",",PUNCT,O
14,עמוס,HEB,B-PERSON
15,עוז,HEB,I-PERSON
16,ועמוס,HEB,O
17,איילון,HEB,O
18,",",PUNCT,O
19,מכתב,HEB,O
20,בניו,HEB,B-FAC
21,יורק,HEB,I-FAC
22,טיימס,HEB,I-FAC
23,",",PUNCT,O
24,בו,HEB,O
25,הפצירו,HEB,O
26,הסופרים,HEB,O
27,ביהודי,HEB,B-NORP
28,ארצות,HEB,I-NORP
29,הברית,HEB,I-NORP
30,"""",PUNCT,O
31,שיביעו,HEB,O
32,את,HEB,O
33,דעתם,HEB,O
34,בקול,HEB,O
35,"""",PUNCT,O
36,לגבי,HEB,O
37,מדיניות,HEB,O
38,ישראל,HEB,O
39,בשטחים,HEB,O
40,.,PUNCT,O
0,בראיון,HEB,O
1,לשבועון,HEB,O
2,ניוזוויק,HEB,B-FAC
3,ב-17,HEB,O
4,באוקטובר,HEB,O
5,1988,NUM,O
6,",",PUNCT,O
7,אמר,HEB,O
8,כי,HEB,O
9,הוא,HEB,O
10,מסוגל,HEB,O
11,להבין,HEB,O
12,כיצד,HEB,O
13,יכלו,HEB,O
14,הגרמנים,HEB,O
15,במלחמת,HEB,O
16,העולם,HEB,O
17,השנייה,HEB,O
18,לומר,HEB,O
19,שלא,HEB,O
20,ידעו,HEB,O
21,על,HEB,O
22,השואה,HEB,O
23,",",PUNCT,O
24,שהרי,HEB,O
25,גם,HEB,O
26,ישראלים,HEB,O
27,רבים,HEB,O
28,מסרבים,HEB,O
29,לקרוא,HEB,O
30,עיתונים,HEB,O
31,או,HEB,O
32,לצפות,HEB,O
33,בטלוויזיה,HEB,O
34,וכל,HEB,O
35,כך,HEB,O
36,קל,HEB,O
37,להינתק,HEB,O
38,מדברים,HEB,O
39,שקורים,HEB,O
40,במרחק,HEB,O
41,של,HEB,O
42,עשרה,HEB,O
43,קילומטרים,HEB,O
44,.,PUNCT,O
0,עם,HEB,O
1,זאת,HEB,O
2,",",PUNCT,O
3,לאחר,HEB,O
4,מכן,HEB,O
5,הכחיש,HEB,O
6,כי,HEB,O
7,השווה,HEB,O
8,את,HEB,O
9,המצב,HEB,O
10,בשטחים,HEB,O
11,למצב,HEB,O
12,בגרמניה,HEB,B-GPE
13,הנאצית,HEB,I-GPE
14,.,PUNCT,O
0,לקראת,HEB,O
1,בחירות,HEB,O
2,2001,NUM,O
3,",",PUNCT,O
4,פרסמה,HEB,O
5,קבוצת,HEB,O
6,פעילי,HEB,O
7,שלום,HEB,O
8,",",PUNCT,O
9,ובתוכה,HEB,O
10,יהושע,HEB,O
11,",",PUNCT,O
12,מודעה,HEB,O
13,בולטת,HEB,O
14,בעיתון,HEB,O
15,"""",PUNCT,O
16,הארץ,HEB,O
17,"""",PUNCT,O
18,",",PUNCT,O
19,בה,HEB,O
20,הם,HEB,O
21,שללו,HEB,O
22,את,HEB,O
23,שיבת,HEB,O
24,הפליטים,HEB,O
25,הפלסטינים,HEB,O
26,לתחומי,HEB,O
27,מדינת,HEB,O
28,ישראל,HEB,O
29,",",PUNCT,O
30,"""",PUNCT,O
31,כי,HEB,O
32,פירוש,HEB,O
33,הדבר,HEB,O
34,יהיה,HEB,O
35,חיסולה,HEB,O
36,של,HEB,O
37,מדינת,HEB,O
38,ישראל,HEB,O
39,..,PUNCT,O
40,.,PUNCT,O
0,שיבה,HEB,O
1,גורפת,HEB,O
2,של,HEB,O
3,פליטים,HEB,O
4,פלסטינים,HEB,O
5,לישראל,HEB,O
6,סותרת,HEB,O
7,את,HEB,O
8,עקרון,HEB,O
9,זכות,HEB,O
10,ההגדרה,HEB,O
11,העצמית,HEB,O
12,של,HEB,O
13,העם,HEB,O
14,היהודי,HEB,O
15,"""",PUNCT,O
16,.,PUNCT,O
0,בשנת,HEB,O
1,2002,NUM,B-DATE
2,אמר,HEB,O
3,ביחס,HEB,O
4,לסכסוך,HEB,B-EVENT
5,הישראלי-פלסטיני,HEB,I-EVENT
6,:,PUNCT,O
7,"""",PUNCT,O
8,הפלסטינים,HEB,O
9,נמצאים,HEB,O
10,כיום,HEB,O
11,במצב,HEB,O
12,טירופי,HEB,O
13,",",PUNCT,O
14,שמזכיר,HEB,O
15,את,HEB,O
16,זה,HEB,O
17,בו,HEB,O
18,נמצא,HEB,O
19,העם,HEB,O
20,הגרמני,HEB,O
21,בתקופת,HEB,O
22,הנאצים,HEB,O
23,.,PUNCT,O
0,הפלסטינים,HEB,O
1,הם,HEB,O
2,לא,HEB,O
3,הראשונים,HEB,O
4,שהעם,HEB,O
5,היהודי,HEB,O
6,גרם,HEB,O
7,להם,HEB,O
8,לטירוף,HEB,O
9,הדעת,HEB,O
10,.,PUNCT,O
0,זה,HEB,O
1,לא,HEB,O
2,העם,HEB,O
3,הראשון,HEB,O
4,שהכנסנו,HEB,O
5,לטירופים,HEB,O
6,",",PUNCT,O
7,ראינו,HEB,O
8,כבר,HEB,O
9,מה,HEB,O
10,קרה,HEB,O
11,עם,HEB,O
12,הגרמנים,HEB,O
13,"""",PUNCT,O
14,.,PUNCT,O
0,בעקבות,HEB,O
1,הביקורת,HEB,O
2,שעוררו,HEB,O
3,דבריו,HEB,O
4,",",PUNCT,O
5,בין,HEB,O
6,השאר,HEB,O
7,על,HEB,O
8,ידי,HEB,B-FAC
9,הנהלת,HEB,I-FAC
10,"""",PUNCT,O
11,יד,HEB,O
12,ושם,HEB,O
13,"""",PUNCT,O
14,",",PUNCT,O
15,הסביר,HEB,O
16,יהושע,HEB,O
17,את,HEB,O
18,כוונתו,HEB,O
19,:,PUNCT,O
20,"""",PUNCT,O
21,לא,HEB,O
22,עשיתי,HEB,O
23,השוואה,HEB,O
24,בין,HEB,O
25,יחסי,HEB,O
26,ישראל,HEB,O
27,והפלסטינים,HEB,O
28,למעשיהם,HEB,O
29,של,HEB,O
30,הנאצים,HEB,O
31,",",PUNCT,O
32,אבל,HEB,O
33,אני,HEB,O
34,שואל,HEB,O
35,את,HEB,O
36,עצמי,HEB,O
37,שאלה,HEB,O
38,שאנחנו,HEB,O
39,חייבים,HEB,O
40,לשאול,HEB,O
41,:,PUNCT,O
42,מה,HEB,O
43,יש,HEB,O
44,באינטראקציה,HEB,O
45,בינינו,HEB,O
46,לבין,HEB,O
47,עמים,HEB,O
48,אחרים,HEB,O
49,",",PUNCT,O
50,היוצר,HEB,O
51,כזאת,HEB,O
52,שנאה,HEB,O
53,אי,HEB,O
54,­,JUNK,O
55,רציונלית,HEB,O
56,?,PUNCT,O
57,מה,HEB,O
58,הביא,HEB,O
59,את,HEB,O
60,הגרמנים,HEB,O
61,ומה,HEB,O
62,מביא,HEB,O
63,את,HEB,O
64,הפלסטינים,HEB,O
65,לשנאה,HEB,O
66,כזאת,HEB,O
67,כלפינו,HEB,O
68,?,PUNCT,O
69,אני,HEB,O
70,מסתכל,HEB,O
71,בחרדה,HEB,O
72,באיזו,HEB,O
73,שנאה,HEB,O
74,התאבדותית,HEB,O
75,מתייחסים,HEB,O
76,אלינו,HEB,O
77,הפלסטינים,HEB,O
78,.,PUNCT,O
0,גם,HEB,O
1,הגרמנים,HEB,O
2,התייחסו,HEB,O
3,אלינו,HEB,O
4,באותו,HEB,O
5,סוג,HEB,O
6,של,HEB,O
7,שנאה,HEB,O
8,.,PUNCT,O
0,זה,HEB,O
1,דבר,HEB,O
2,שצריך,HEB,O
3,לברר,HEB,O
4,אותו,HEB,O
5,",",PUNCT,O
6,מה,HEB,O
7,קורה,HEB,O
8,בינינו,HEB,O
9,לבין,HEB,O
10,עמים,HEB,O
11,אחרים,HEB,O
12,שבתוכם,HEB,O
13,אנחנו,HEB,O
14,חיים,HEB,O
15,"""",PUNCT,O
16,.,PUNCT,O
0,לקראת,HEB,O
1,סוף,HEB,O
2,מלחמת,HEB,B-EVENT
3,לבנון,HEB,I-EVENT
4,השנייה,HEB,I-EVENT
5,",",PUNCT,O
6,השתתף,HEB,O
7,במסיבת,HEB,O
8,עיתונאים,HEB,O
9,עם,HEB,O
10,דויד,HEB,B-PERSON
11,גרוסמן,HEB,I-PERSON
12,ועמוס,HEB,B-PERSON
13,עוז,HEB,I-PERSON
14,בה,HEB,O
15,קראו,HEB,O
16,לממשלת,HEB,O
17,ישראל,HEB,O
18,להסכים,HEB,O
19,להפסקת,HEB,O
20,אש,HEB,O
21,ולא,HEB,O
22,להרחיב,HEB,O
23,את,HEB,O
24,הלחימה,HEB,O
25,בלבנון,HEB,O
26,כפי,HEB,O
27,שהחליטה,HEB,O
28,לאחר,HEB,O
29,מכן,HEB,O
30,.,PUNCT,O
0,במאמריו,HEB,O
1,תיאר,HEB,O
2,את,HEB,O
3,עצמו,HEB,O
4,"כ""סופר",HEB,O
5,מגויס,HEB,O
6,"""",PUNCT,O
7,",",PUNCT,O
8,בעל,HEB,O
9,מחויבות,HEB,O
10,ואחריות,HEB,O
11,למתרחש,HEB,O
12,.,PUNCT,O
0,את,HEB,O
1,חשיפת,HEB,O
2,דעותיו,HEB,O
3,בעניינים,HEB,O
4,חברתיים,HEB,O
5,ומדינתיים,HEB,O
6,החל,HEB,O
7,בספר,HEB,O
8,המסות,HEB,O
9,"""",PUNCT,O
10,בזכות,HEB,O
11,הנורמליות,HEB,O
12,"""",PUNCT,O
13,",",PUNCT,O
14,שעורר,HEB,O
15,הדים,HEB,O
16,בישראל,HEB,O
17,ובעולם,HEB,O
18,",",PUNCT,O
19,ובמאמרים,HEB,O
20,ובספרים,HEB,O
21,נוספים,HEB,O
22,שפרסם,HEB,O
23,מאז,HEB,O
24,.,PUNCT,O
0,בבחירות,HEB,B-EVENT
1,לכנסת,HEB,I-EVENT
2,ה-19,HEB,I-EVENT
3,בינואר,HEB,O
4,2013,NUM,O
5,הוצב,HEB,O
6,יהושע,HEB,O
7,במקום,HEB,O
8,ה-109,HEB,O
9,הסמלי,HEB,O
10,ברשימת,HEB,O
11,מרצ,HEB,O
12,לכנסת,HEB,O
13,.,PUNCT,O
0,בדצמבר,HEB,O
1,2016,NUM,O
2,הציע,HEB,O
3,לתת,HEB,O
4,למאה,HEB,O
5,אלף,HEB,O
6,ערבים,HEB,O
7,תושבי,HEB,O
8,שטחי,HEB,O
9,C,ENG,O
10,ביהודה,HEB,O
11,ושומרון,HEB,O
12,",",PUNCT,O
13,תושבות,HEB,O
14,ואולי,HEB,O
15,אף,HEB,O
16,אזרחות,HEB,O
17,",",PUNCT,O
18,בלי,HEB,O
19,לספח,HEB,O
20,את,HEB,O
21,שטחי,HEB,O
22,C,ENG,O
23,עצמם,HEB,O
24,.,PUNCT,O
0,יהושע,HEB,O
1,חבר,HEB,O
2,במועצה,HEB,O
3,הציבורית,HEB,O
4,של,HEB,O
5,ארגון,HEB,O
6,"""",PUNCT,O
7,בצלם,HEB,O
8,"""",PUNCT,O
9,.,PUNCT,O
0,רומנים,HEB,O
1,ספרי,HEB,O
2,סיפורים,HEB,O
3,קצרים,HEB,O
4,מחזות,HEB,O
5,ספרי,HEB,O
6,ילדים,HEB,O
7,ספרי,HEB,O
8,עיון,HEB,O
9,חלק,HEB,O
10,מספריו,HEB,O
11,של,HEB,O
12,יהושע,HEB,O
13,עובדו,HEB,O
14,לקולנוע,HEB,O
15,וסדרות,HEB,O
16,טלוויזיה,HEB,B-FAC
17,:,PUNCT,O
18,בין,HEB,O
19,ספריו,HEB,O
20,שעובד,HEB,O
21,למחזה,HEB,O
22,לתיאטרון,HEB,B-WORK_OF_ART
23,:,PUNCT,O
24,"""",PUNCT,O
25,המאהב,HEB,O
26,"""",PUNCT,O
27,"ו""שליחותו",HEB,O
28,של,HEB,O
29,הממונה,HEB,O
30,על,HEB,O
31,משאבי,HEB,O
32,אנוש,HEB,O
33,"""",PUNCT,O
34,.,PUNCT,O
0,ספרו,HEB,O
1,מסע,HEB,O
2,אל,HEB,O
3,תום,HEB,O
4,האלף,HEB,O
5,היה,HEB,O
6,הבסיס,HEB,O
7,לאופרה,HEB,B-WORK_OF_ART
8,שהועלתה,HEB,O
9,באופרה,HEB,O
10,הישראלית,HEB,O
11,החדשה,HEB,O
12,",",PUNCT,O
13,יהושע,HEB,O
14,כתב,HEB,O
15,את,HEB,O
16,הליברית,HEB,O
17,.,PUNCT,O
